component,ruleTypeId,ruleTypeName,entity,attribute,fieldType,label,source
receiving,PreAllocateRuleType,PreAllocateRuleType,,asnId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,asnLevelId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,asnLineList,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,asnOriginTypeId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,asnStatus,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,businessUnitId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,carrierId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,destinationFacilityId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,entityLabels,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,estimatedDeliveryDate,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,lpnList,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,originFacilityId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,preReceiptStatusId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,rrnId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,shippedDate,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,vendorId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,asnId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,batchNumber,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,businessUnitId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,countryOfOrigin,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,entityLabels,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,expiryDate,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,inventoryAttribute1,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,inventoryAttribute2,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,inventoryAttribute3,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,inventoryAttribute4,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,inventoryAttribute5,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,inventoryTypeId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,itemId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,manufacturingDate,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,productStatusId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,purchaseOrderId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,purchaseOrderLineId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,shippedQuantity,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,vendorId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,Annotations,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,AttributeLabels,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,InheritedLabels,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,RuleLabels,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,climateControlId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,color,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,colorSuffix,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,commodityCode,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,conveyable,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,criticalDimension1,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,criticalDimension2,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,criticalDimension3,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,displayUomId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,entityLabels,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,facilityId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,hazardousMaterialId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,hazmat,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,height,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,itemId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,length,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,lpnPerTier,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,merchandizingGroup,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,merchandizingType,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,orgId,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,productClass,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,productLifeInDays,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,retailPrice,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,season,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,seasonYear,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,secondDimension,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,shortDescription,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,sizeCode,,,ruleTypeAvailableAttributeXref
receiving,PreAllocateRuleType,PreAllocateRuleType,,sizeDescription,,,ruleTypeAvailableAttributeXref
